# y(4)
# underflow	  670.24498    	  7.9198481    
# overflow	  661.69225    	  8.0282946    
# sum	  24658.167    	  46.083023    
# xmin	xmax	cross	numerror
 -2.4000000    	 -2.1600000    	  675.64964    	  7.4131916    
 -2.1600000    	 -1.9200000    	  798.64418    	  8.4868366    
 -1.9200000    	 -1.6800000    	  940.12065    	  9.4915216    
 -1.6800000    	 -1.4400000    	  1057.4910    	  9.4090347    
 -1.4400000    	 -1.2000000    	  1196.3097    	  10.279843    
 -1.2000000    	-0.96000000    	  1270.9078    	  10.171012    
-0.96000000    	-0.72000000    	  1355.3918    	  10.873259    
-0.72000000    	-0.48000000    	  1425.7434    	  11.245268    
-0.48000000    	-0.24000000    	  1459.4818    	  11.013861    
-0.24000000    	  0.0000000    	  1480.5055    	  10.790068    
  0.0000000    	 0.24000000    	  1468.1643    	  11.033844    
 0.24000000    	 0.48000000    	  1483.7182    	  10.242670    
 0.48000000    	 0.72000000    	  1421.9989    	  12.169170    
 0.72000000    	 0.96000000    	  1366.7612    	  10.582417    
 0.96000000    	  1.2000000    	  1277.5137    	  10.280642    
  1.2000000    	  1.4400000    	  1186.5133    	  10.151207    
  1.4400000    	  1.6800000    	  1035.2328    	  9.6150864    
  1.6800000    	  1.9200000    	  942.77829    	  8.7890185    
  1.9200000    	  2.1600000    	  804.08339    	  8.5559202    
  2.1600000    	  2.4000000    	  679.22066    	  7.8073179    
