# y(34)
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	  24676.179    	  38.592104    
# xmin	xmax	cross	numerror
 -5.0000000    	 -4.6000000    	  0.0000000    	  0.0000000    
 -4.6000000    	 -4.2000000    	  0.0000000    	  0.0000000    
 -4.2000000    	 -3.8000000    	  0.0000000    	  0.0000000    
 -3.8000000    	 -3.4000000    	  0.0000000    	  0.0000000    
 -3.4000000    	 -3.0000000    	  0.0000000    	  0.0000000    
 -3.0000000    	 -2.6000000    	  17.817961    	  1.9738959    
 -2.6000000    	 -2.2000000    	  536.37585    	  7.7577701    
 -2.2000000    	 -1.8000000    	  1256.8578    	  9.8093731    
 -1.8000000    	 -1.4000000    	  1858.8459    	  10.871089    
 -1.4000000    	 -1.0000000    	  2243.8728    	  10.891194    
 -1.0000000    	-0.60000000    	  2471.1380    	  11.022513    
-0.60000000    	-0.20000000    	  2634.2801    	  11.556355    
-0.20000000    	 0.20000000    	  2653.7233    	  12.031787    
 0.20000000    	 0.60000000    	  2615.4296    	  12.029649    
 0.60000000    	  1.0000000    	  2494.8944    	  12.392766    
  1.0000000    	  1.4000000    	  2218.9118    	  11.661065    
  1.4000000    	  1.8000000    	  1848.8410    	  10.195054    
  1.8000000    	  2.2000000    	  1274.9974    	  9.5417609    
  2.2000000    	  2.6000000    	  532.40932    	  7.6398682    
  2.6000000    	  3.0000000    	  17.783366    	  2.1941500    
  3.0000000    	  3.4000000    	  0.0000000    	  0.0000000    
  3.4000000    	  3.8000000    	  0.0000000    	  0.0000000    
  3.8000000    	  4.2000000    	  0.0000000    	  0.0000000    
  4.2000000    	  4.6000000    	  0.0000000    	  0.0000000    
  4.6000000    	  5.0000000    	  0.0000000    	  0.0000000    
