# y(3)
# underflow	  665.60881    	  8.0316620    
# overflow	  655.27553    	  8.1640602    
# sum	  24636.026    	  45.708092    
# xmin	xmax	cross	numerror
 -2.4000000    	 -2.1600000    	  672.49256    	  7.5267493    
 -2.1600000    	 -1.9200000    	  807.29197    	  7.8042427    
 -1.9200000    	 -1.6800000    	  936.33731    	  8.9843578    
 -1.6800000    	 -1.4400000    	  1066.9179    	  10.046261    
 -1.4400000    	 -1.2000000    	  1184.2284    	  9.4891783    
 -1.2000000    	-0.96000000    	  1281.8585    	  10.950891    
-0.96000000    	-0.72000000    	  1353.3233    	  10.182888    
-0.72000000    	-0.48000000    	  1410.0684    	  10.278416    
-0.48000000    	-0.24000000    	  1473.4257    	  11.102217    
-0.24000000    	  0.0000000    	  1469.3280    	  11.145071    
  0.0000000    	 0.24000000    	  1471.7866    	  11.823485    
 0.24000000    	 0.48000000    	  1459.6002    	  11.737411    
 0.48000000    	 0.72000000    	  1426.4376    	  10.510840    
 0.72000000    	 0.96000000    	  1367.7655    	  10.348999    
 0.96000000    	  1.2000000    	  1271.5866    	  10.488021    
  1.2000000    	  1.4400000    	  1159.1184    	  9.6286460    
  1.4400000    	  1.6800000    	  1073.1058    	  10.044626    
  1.6800000    	  1.9200000    	  945.07794    	  8.3628145    
  1.9200000    	  2.1600000    	  809.42098    	  7.9644784    
  2.1600000    	  2.4000000    	  675.97031    	  7.7444163    
