# y(3)
# underflow	  335.31225    	  2.5138718    
# overflow	  334.77954    	  2.6957346    
# sum	  12900.147    	  10.379941    
# xmin	xmax	cross	numerror
 -2.4000000    	 -2.1600000    	  345.11074    	  1.8227028    
 -2.1600000    	 -1.9200000    	  418.03427    	  1.9277020    
 -1.9200000    	 -1.6800000    	  485.07913    	  1.9853408    
 -1.6800000    	 -1.4400000    	  551.99738    	  2.0064943    
 -1.4400000    	 -1.2000000    	  619.92457    	  2.2582568    
 -1.2000000    	-0.96000000    	  668.51211    	  2.1203236    
-0.96000000    	-0.72000000    	  716.54313    	  2.3972415    
-0.72000000    	-0.48000000    	  751.26289    	  2.3802539    
-0.48000000    	-0.24000000    	  770.60980    	  2.2371228    
-0.24000000    	  0.0000000    	  787.40280    	  2.4260732    
  0.0000000    	 0.24000000    	  784.02873    	  2.2259009    
 0.24000000    	 0.48000000    	  773.12781    	  2.3325885    
 0.48000000    	 0.72000000    	  748.34016    	  2.1502084    
 0.72000000    	 0.96000000    	  715.98424    	  2.3051688    
 0.96000000    	  1.2000000    	  668.12125    	  2.1704046    
  1.2000000    	  1.4400000    	  619.88146    	  2.4743364    
  1.4400000    	  1.6800000    	  557.92752    	  2.1596505    
  1.6800000    	  1.9200000    	  487.39801    	  1.9447217    
  1.9200000    	  2.1600000    	  416.28836    	  2.1035389    
  2.1600000    	  2.4000000    	  344.48083    	  1.7932171    
