# y(4)
# underflow	  336.36519    	  2.3202099    
# overflow	  335.59384    	  2.5136372    
# sum	  12904.186    	  10.321356    
# xmin	xmax	cross	numerror
 -2.4000000    	 -2.1600000    	  346.20251    	  1.9773992    
 -2.1600000    	 -1.9200000    	  417.43280    	  2.0607126    
 -1.9200000    	 -1.6800000    	  486.54379    	  1.9861675    
 -1.6800000    	 -1.4400000    	  555.54845    	  2.0645847    
 -1.4400000    	 -1.2000000    	  615.47762    	  2.0485082    
 -1.2000000    	-0.96000000    	  668.44374    	  2.2163313    
-0.96000000    	-0.72000000    	  713.98254    	  2.2401412    
-0.72000000    	-0.48000000    	  747.76739    	  2.4238722    
-0.48000000    	-0.24000000    	  770.44890    	  2.1415481    
-0.24000000    	  0.0000000    	  787.51295    	  2.4806387    
  0.0000000    	 0.24000000    	  784.08739    	  2.2489767    
 0.24000000    	 0.48000000    	  774.05158    	  2.4044987    
 0.48000000    	 0.72000000    	  753.90255    	  2.5111747    
 0.72000000    	 0.96000000    	  716.02883    	  2.2465954    
 0.96000000    	  1.2000000    	  673.45466    	  2.2394717    
  1.2000000    	  1.4400000    	  617.74112    	  2.2290993    
  1.4400000    	  1.6800000    	  554.84297    	  2.1465017    
  1.6800000    	  1.9200000    	  489.67692    	  1.9608170    
  1.9200000    	  2.1600000    	  416.15077    	  1.9804380    
  2.1600000    	  2.4000000    	  342.92965    	  1.7809310    
