# y(34)
# underflow	  0.0000000    	  0.0000000    
# overflow	  0.0000000    	  0.0000000    
# sum	  12909.772    	  9.8246750    
# xmin	xmax	cross	numerror
 -5.0000000    	 -4.6000000    	  0.0000000    	  0.0000000    
 -4.6000000    	 -4.2000000    	  0.0000000    	  0.0000000    
 -4.2000000    	 -3.8000000    	  0.0000000    	  0.0000000    
 -3.8000000    	 -3.4000000    	  0.0000000    	  0.0000000    
 -3.4000000    	 -3.0000000    	  0.0000000    	  0.0000000    
 -3.0000000    	 -2.6000000    	  8.8442325    	 0.65310374    
 -2.6000000    	 -2.2000000    	  265.54273    	  2.2586949    
 -2.2000000    	 -1.8000000    	  649.49480    	  2.5857528    
 -1.8000000    	 -1.4000000    	  960.98317    	  2.6846211    
 -1.4000000    	 -1.0000000    	  1179.4218    	  2.9858810    
 -1.0000000    	-0.60000000    	  1310.7258    	  2.8898267    
-0.60000000    	-0.20000000    	  1379.0990    	  2.7843046    
-0.20000000    	 0.20000000    	  1407.8932    	  2.9669599    
 0.20000000    	 0.60000000    	  1378.5710    	  2.7411912    
 0.60000000    	  1.0000000    	  1303.0140    	  2.7463175    
  1.0000000    	  1.4000000    	  1174.1932    	  2.9770917    
  1.4000000    	  1.8000000    	  961.89645    	  2.6071851    
  1.8000000    	  2.2000000    	  656.23999    	  2.6642095    
  2.2000000    	  2.6000000    	  266.19309    	  2.2704684    
  2.6000000    	  3.0000000    	  7.6601522    	 0.55765451    
  3.0000000    	  3.4000000    	  0.0000000    	  0.0000000    
  3.4000000    	  3.8000000    	  0.0000000    	  0.0000000    
  3.8000000    	  4.2000000    	  0.0000000    	  0.0000000    
  4.2000000    	  4.6000000    	  0.0000000    	  0.0000000    
  4.6000000    	  5.0000000    	  0.0000000    	  0.0000000    
