# y(4)
# underflow	  333.82387    	  2.2730044    
# overflow	  333.38945    	  2.2460775    
# sum	  12898.987    	  9.7571445    
# xmin	xmax	cross	numerror
 -2.4000000    	 -2.1600000    	  342.53741    	  1.7593411    
 -2.1600000    	 -1.9200000    	  416.34971    	  1.9015103    
 -1.9200000    	 -1.6800000    	  489.72510    	  1.9311400    
 -1.6800000    	 -1.4400000    	  555.61094    	  2.2180396    
 -1.4400000    	 -1.2000000    	  616.31910    	  2.0140993    
 -1.2000000    	-0.96000000    	  673.23718    	  2.2629782    
-0.96000000    	-0.72000000    	  716.04192    	  2.1360379    
-0.72000000    	-0.48000000    	  753.08796    	  2.2198000    
-0.48000000    	-0.24000000    	  773.03533    	  2.1784873    
-0.24000000    	  0.0000000    	  780.15356    	  2.1422168    
  0.0000000    	 0.24000000    	  783.48092    	  2.0922509    
 0.24000000    	 0.48000000    	  774.21926    	  2.2150306    
 0.48000000    	 0.72000000    	  751.68650    	  2.1181721    
 0.72000000    	 0.96000000    	  715.22002    	  2.1458027    
 0.96000000    	  1.2000000    	  667.11894    	  2.0698388    
  1.2000000    	  1.4400000    	  616.95047    	  2.1110011    
  1.4400000    	  1.6800000    	  557.12184    	  1.9899501    
  1.6800000    	  1.9200000    	  485.31227    	  1.9658418    
  1.9200000    	  2.1600000    	  418.03751    	  1.8694705    
  2.1600000    	  2.4000000    	  346.52725    	  1.7868366    
